aa	w(ﾟДﾟ)w
fenshou	( ´･･)ﾉ(._.`)
fue	(☆´益`)c
fuqiang	...( ＿ ＿)ノ｜壁
gaga	．<{=．．．．（嘎~嘎~嘎~）
ganbei	[]~(￣▽￣)~*
ganbei	(￣▽￣)～■干杯□～(￣▽￣)
gao	(*￣▽)u┌┐ ｄ(▽￣*)
gaoxing	φ(゜▽゜*)♪
gaozhuang	( σ'ω')σ
gennishuo	╰(￣▽￣)╭
go	<(￣︶￣)↗[GO!]
good	o(￣▽￣)ｄ
gougou	U•ェ•*U
guai	o(*^＠^*)o
gui	┏┛墓┗┓...(((m -__-)m
guilian	(￫ܫ￩)
guilian	(￣┰￣*)
gun	(～o￣▽￣)～o 。。。滚来滚去……o～(＿△＿o～) ~。。。
hahahaha	*´∀`)´∀`)*´∀`)*´∀`)
hai	ヾ(≧∇≦*)ゝ
hai	(｡･∀･)ﾉﾞ
haixiu	(′▽`〃)
haixiu	(✿◡‿◡)
han	Σ( ° △ °|||)︴
hansi	(lll￢ω￢)
hansi	Σ( ° △ °|||)︴
hansi	|(*′口`)
haodi	（゜▽＾*））
haodi	(u‿ฺu✿ฺ)
haokaixin	(*^▽^*)
haokeai	（*＾-＾*）
haoxiang	(╯▽╰ )好香~~
haoxihuan	(≧∇≦)ﾉ
haoye	ヽ(✿ﾟ▽ﾟ)ノ
haozhuyi	(o゜▽゜)o☆
happy	(´▽`ʃ♡ƪ)
hema	（￣。。￣）
hengheng	(＠￣ー￣＠)
hengheng	o(￣ヘ￣o＃)
hengheng	(；′⌒`)
hi	Hi~ o(*￣▽￣*)ブ
hiahia	○( ＾皿＾)っHiahiahia…
high	(( へ(へ´∀`)へ
hoho	^O^
hu	（。－_－。）
huachi	(❤´艸｀❤)
huairen	～(　TロT)σ
huanying	( ＾∀＾）／欢迎＼( ＾∀＾）
huaquan	_〆(´Д｀ )
huhuan	(/0￣)o [呼唤]
huijia	『家』 ～o(▽｀ o) =3 =3 =3
huijian	＼（＾∀＾）メ（＾∀＾）ノ
huishoupa	(ToT)/~~~
huosheng	ヾ(￣ー￣)X(^▽^)ゞ
jiaji	(o ￣3)==@))゜ロ゜((@==(′ε′ )o　
jianjj	( *・ω・)✄╰ひ╯
jiao	(￣～￣) 嚼！
jiaoao	(‾◡◝)
jiayou	(ง •_•)ง
jinchi	( ͡° ͜ʖ ͡°)
jing	Σ( ° △ °|||)︴
jing	Σ(｀д′*ノ)ノ
jing	Σ(っ °Д °;)っ
jing	(⊙ˍ⊙)
jingxi	⊙▽⊙
jingxi	╰(*°▽°*)╯
jiong	（´Д`）
jirou	┗|*｀0′*|┛
jiujie	o(′益`)o
jiuni	<(￣ ﹌ ￣)@m 就你！
jiushi	ヾ(●゜ⅴ゜)ﾉ
jizhang	( ￣ー￣)人(^▽^ )
juezui	（〃｀ 3′〃）
jushou	o(*^▽^*)┛
jushou	_( ﾟДﾟ)ﾉ
kalaok	...φ(0￣*)啦啦啦_φ(*￣0￣)′
keai	n(*≧▽≦*)n
kedou	(°°)～　(°°)～　(°°)～　(°°)～
keke	咳咳＞＜
kewu	（＝。＝）
kewu	(〃＞目＜)
kge	...φ(0￣*)啦啦啦_φ(*￣0￣)
kiss	!(*￣(￣　*)
kongbu	┌(。Д。)┐
kuaile	(*^▽^*)
kunle	(￣o￣) . z Z
kunnao	( -'`-; )
kunsile	(o-ωｑ)).oO 困
kunsile	(p.-)(p.-)(p.-)
kusi	(;´༎ຶД༎ຶ`) 
lai	ᕕ( ᐛ )ᕗ
laila	(～o￣▽￣)～o ~。。。
lala	♪(^∇^*)
lalala	...φ(0￣*)啦啦啦_φ(*￣0￣)>
laohu	m( =∩王∩= )m
le	φ(≧ω≦*)♪
le	(๑´ㅂ`๑)
lehe	(≧∀≦)ゞ
lei	(ρ_・).。
lengxiao	（ ￣ー￣）
lengyan	┌( ´_ゝ` )┐
lengzhu	(°ー°〃)
lianhong	(*/ω＼*)
lihai	（。＾▽＾）
liuyan	（。人。）
luanma	~%?…,# *'☆&℃$︿★?
maim	=￣ω￣=
manyi	（´v｀）
manzu	o(*￣︶￣*)o
manzu	(๑¯∀¯๑)
mao	o(=•ェ•=)m
meibanfa	╮（╯＿╰）╭
meiren	┐(T.T ) ( T.T) ノ
meiwei	Ψ(￣∀￣)Ψ
meiyan	ο(=•ω＜=)ρ⌒☆
mian	(つω｀)～
mianbi	( ￣ ￣)σ…( ＿ ＿)ノ｜壁
miao	~o( =∩ω∩= )m
miaowu	≡ω≡
miaoxingren	o( =•ω•= )m
miehhaha	<(*￣▽￣*)/
mieshi	(￣_,￣ )
mingbai	(oﾟvﾟ)ノ
mingku	ε(┬┬﹏┬┬)3
mingtianjian	（＾∀＾●）ﾉｼ
mua	（づ￣3￣）づ╭❤～
mua	(*╯3╰)
nage	(．． )…
nage	￣△￣
nalipao	(///￣皿￣)○～
naozhong	☆{{{Д}}} ☆!! [铃铃铃]
neiniumanmian	〒▽〒
niao	--(˙<>˙)/--
nielian	<( ‵□′)───C＜─___-)||
nihao	ヾ(´･ω･｀)ﾉ
nihuilaila	ヾ(^▽^*)))
niu	( ఠൠఠ )ﾉ
niuerduo	<( ‵□′)>───Ｃε(┬﹏┬)3
nu	ε=怒ε=怒ε=怒ε=怒ε=( o｀ω′)ノ
o	ｍ(o・ω・o)ｍ
ohyeah	ε(*´･∀･｀)зﾞ
oo	（≧0≦）//（-_-。）・・・
orz	○|￣|_
oye	(^&^)/
oye	(　ﾟ∀ﾟ) ﾉ♡
paishou	””\(￣ー￣) (￣ー￣)//””
paizhuo	o(*≧▽≦)ツ┏━┓
pao	ε=ε=ε=(~￣▽￣)~
pao	ε = = (づ′▽`)づ
papa	━((*′д｀)爻(′д｀*))━!!!!
piao	(～o￣3￣)～
piao	(～￣▽￣)～
piaoguo	.....((/- -)/
ppr	︿(￣︶￣)︿
pu	(/≧▽≦)/
qiang	▄︻┻┳═一……
qichuang	※=○☆(＿＿*)Ｚｚｚ
qidai	(☆▽☆)
qie	(ˉ▽￣～) 切~~
qie	~~( ﹁ ﹁ ) ~~~
qin	（づ￣3￣）づ╭❤～
qingmie	(´ｰ∀ｰ`)
qinqin	o(*￣3￣)o
qiuqiuni	(っ´Ι`)っ
qu	(ーー゛)
qu	φ(-ω-*)
quan	(╬￣皿￣)＝○＃(￣＃)３￣)
qusi	(-__-)=@))> o<)
ruo	(。・・)ノ
sahua	*★,°*:.☆(￣▽￣)/$:*.°★* 。
sandan	▄︻┻┳═一∵∴∷∶∵ (∵_,∵)>>>>
shan	=└(┐卍^o^)卍
shan	|(•_•) |•_•) |_•) |•) | )
shan	✧(≖ ◡ ≖✿)
shangxin	(；′⌒`)
shanren	(*￣▽￣)(￣▽:;.…::;.:.:::;..::;.:...
shena	~(￣0￣)/
shengdan	*<|:-) 
shengqi	<(－︿－)>
shengqi	(ー`´ー)
shengqi	（｀へ´）
shenmedongxi	( ｀д′)
shequan	z(-_-z)).....((s-_-)s
shia	(ﾟｰﾟ)
shiashia	ヾ(＠⌒ー⌒＠)ノ
shibushini	(σ｀д′)σ
shihua	━━∑(￣□￣*|||━━
shihuai	ԅ(¯﹃¯ԅ)
shiluo	(。_。)
shima	⊙▽⊙
shima	(￣m￣）
shuai	(′д｀ )…彡…彡
shy	o(*////▽////*)q
siba	´･∀･)乂(･∀･｀
sigh	( ′ 3`) sigh~
taibangle	ㄟ(≧◇≦)ㄏ
taikepale	ヽ(*。>Д<)o゜
tangqianglv	_(:驴」∠)_
tangqiangma	_(:马」∠)_
tanshou	┑(￣Д ￣)┍
tao	ε=ε=ε=┏(゜ロ゜;)┛
tao	…（⊙＿⊙；）…
tao	ヽ(ﾟ∀ﾟ*)ﾉ━━━ｩ♪
taopao	～（□`）～
taoyan	＼(゜ロ＼)(／ロ゜)／
taoyan	(ノω<。)ノ))☆.。
taozui	( *︾▽︾)
tat	o(TヘTo)
tat	(ノへ￣、)
thx	☆⌒(*＾-゜)v THX!!
ti	ヽ(ヽ `д′)ヽ`д′)ヽ`д′)┌┛┌┛┌┛★)`з゜)y
tiana	♪(´∇`*)
tongyi	(。・∀・)ノ
toukan	(/ω＼*)……… (/ω•＼*)
toukui	┬┴┤_•)
touxiang	┗( T﹏T )┛
tu	( >ρ < ”)
tuidao	(ﾉ*･ω･)ﾉ
tun	0＾）吞！
tuozou	ヽ(゜▽゜　)－C<(/;◇;)/~
tushetou	(￣┰￣*)
wabishi	(*￣rǒ￣)
wanan	お(ノ￣0￣)ノや（o￣ ・￣）oす(。＿　＿)。みZZzzzz…
wanshanghao	￣O￣)ノ　
wansui	！*★,°*:.☆(￣▽￣)/$:*.°★* 。
wei	(#`O′)
weifan	( *^-^)ρ(^0^* )
weiqu	╥﹏╥...
wenbie	(*￣;(￣ *)
wocuole	(。﹏。*)
wohuilaila	||ヽ(*￣▽￣*)ノミ|Ю
wolaile	~(～￣▽￣)～
woqu	o(￣ヘ￣o＃)
wow	wow~ ⊙o⊙
wudi	↑↑↓↓←→←→ＢＡ...┗( -o-)┛
wugu	（o´・ェ・｀o）
wulian	つ﹏⊂
wulian	(*/ω＼*)
wunai	╮(╯▽╰)╭
wushi	(☆-ｖ-)
wuwuwu	┭┮﹏┭┮
wuyan	(－∀＝)
wuyan	（＊￣（エ）￣）
xia	(☄⊙ω⊙)☄
xia	(*Φ皿Φ*)
xiaoheiwu	ヽ(￣︿￣　)—C<(/;◇;)/
xiasi	(:.;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;益;ﾟ;.)
xibeifeng	[喝西北风](　′Д`)彡
xie	谢啦!!☆⌒(*＾-゜)v
xiee	( ‵▽′)ψ
xiey	( ﹁ ﹁ ) ~→
xieyan	( ﹁ ﹁ ) ~→
xingfen	(p≧w≦q)
xingfu	o(*￣▽￣*)o
xinwei	( ╯▽╰)
xiong	(*￣(エ)￣)
xiong	(+(工)+╬)
xiu	◕ฺ‿◕ฺ✿ฺ)
yanjing	(-@y@)
yanmian	(*/ω＼*)
yaomingyuguojingming	( ˘•ω•˘ )ง⁽˙³˙⁾
ye	(＾－＾)V
yesi	( *⊙~⊙)
yezhu	[噎住] ( *⊙~⊙)
yi	(・∀・(・∀・(・∀・*)
yiqi	ヽ(￣ω￣(￣ω￣〃)ゝ
yo	(＾Ｕ＾)ノ~ＹＯ
youle	(o゜▽゜)o☆
yourenma	||o(*°▽°*)o|Ю [有人吗?]
yuannian	o(一︿一+)o
yun	(((φ(◎ロ◎;)φ)))
zaijian	┏(＾0＾)┛
zaijian	(。・_・)/~~~
zan	(((o(*ﾟ▽ﾟ*)o)))
zaogao	X﹏X
zhadan	(╯‵□′)╯炸弹！•••*～●
zhan	ˋ( ° ▽、° ) (o(￣▽￣///(斩!!)
zhang	(￣︶￣)↗
zhe	((*・∀・）ゞ→→
zhenda	o(〃'▽'〃)o
zhenfen	(o>ε(o>ｕ(≧∩≦)
zhenhao	o(^▽^)o
zhenjing	(○´･д･)ﾉ
zheyangme	(=′ー`)
zhi	<(￣ ﹌ ￣)@m
zhu	^(*￣(oo)￣)^
zhua	W(￣_￣)W
zilian	(◡ᴗ◡✿)
zipai	*(੭*ˊᵕˋ)੭*ଘ
zisha	…〒_〒…‵ｏ′-一┳═┻︻▄
zoula	( ﾟдﾟ)つBye
zuijiao	(*ﾟｰﾟ)
zuomeng	ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】))
